replicate,pos,y_bin,median_intensity
replicate_4,pos10,0.0,297.94444444444446
replicate_4,pos10,1.0,340.30434782608694
replicate_4,pos10,2.0,378.6986301369863
replicate_4,pos10,3.0,353.875
replicate_4,pos10,4.0,358.078125
replicate_4,pos10,5.0,314.0
replicate_4,pos10,6.0,278.7317073170732
replicate_4,pos10,7.0,246.52557544757036
replicate_4,pos10,8.0,240.3205128205128
replicate_4,pos10,9.0,228.5
replicate_4,pos10,10.0,217.3141891891892
replicate_4,pos10,11.0,219.17575083426027
replicate_4,pos10,12.0,211.7391304347826
replicate_4,pos10,13.0,208.18666666666667
replicate_4,pos10,14.0,200.0
replicate_4,pos10,15.0,195.16129032258064
replicate_4,pos10,16.0,194.93243243243245
replicate_4,pos10,17.0,188.2982456140351
replicate_4,pos10,18.0,190.8548387096774
replicate_4,pos10,19.0,191.72131147540983
replicate_4,pos10,20.0,185.79166666666663
replicate_4,pos10,21.0,191.89673913043475
replicate_4,pos10,22.0,189.03297682709447
replicate_4,pos10,23.0,195.7012121212121
replicate_4,pos10,24.0,203.9046218487395
replicate_4,pos10,25.0,208.79070294784583
replicate_4,pos10,26.0,211.45728980322002
replicate_4,pos10,27.0,211.54032258064515
replicate_4,pos10,28.0,218.6882154882155
replicate_4,pos10,29.0,219.38107563991946
replicate_4,pos14,0.0,297.0289855072464
replicate_4,pos14,1.0,332.29569892473114
replicate_4,pos14,2.0,362.390625
replicate_4,pos14,3.0,394.8474576271187
replicate_4,pos14,4.0,349.60377358490564
replicate_4,pos14,5.0,305.8421052631579
replicate_4,pos14,6.0,301.2175
replicate_4,pos14,7.0,287.9620253164557
replicate_4,pos14,8.0,266.6930995043843
replicate_4,pos14,9.0,245.53787878787878
replicate_4,pos14,10.0,239.48571428571432
replicate_4,pos14,11.0,227.20408163265307
replicate_4,pos14,12.0,221.8571428571429
replicate_4,pos14,13.0,223.4028735632184
replicate_4,pos14,14.0,216.94049247606017
replicate_4,pos14,15.0,210.93939393939394
replicate_4,pos14,16.0,206.81349206349205
replicate_4,pos14,17.0,200.0888888888889
replicate_4,pos14,18.0,195.49696969696967
replicate_4,pos14,19.0,196.25240237170314
replicate_4,pos14,20.0,194.83277027027026
replicate_4,pos14,21.0,193.57895569620254
replicate_4,pos14,22.0,192.694374323837
replicate_4,pos14,23.0,194.0204081632653
replicate_4,pos14,24.0,193.53535353535352
replicate_4,pos14,25.0,197.98467938311688
replicate_4,pos14,26.0,204.453125
replicate_4,pos14,27.0,211.62614379084965
replicate_4,pos14,28.0,212.93352059925098
replicate_4,pos14,29.0,217.5529411764706
replicate_4,pos17,0.0,295.2739726027397
replicate_4,pos17,1.0,344.46000000000004
replicate_4,pos17,2.0,353.43979328165375
replicate_4,pos17,3.0,321.5385878489327
replicate_4,pos17,4.0,352.7352941176471
replicate_4,pos17,5.0,315.2692307692308
replicate_4,pos17,6.0,303.77777777777777
replicate_4,pos17,7.0,297.17511520737327
replicate_4,pos17,8.0,262.98079268292685
replicate_4,pos17,9.0,256.2926296866975
replicate_4,pos17,10.0,240.03846153846155
replicate_4,pos17,11.0,232.8709677419355
replicate_4,pos17,12.0,236.28888888888886
replicate_4,pos17,13.0,247.32949308755758
replicate_4,pos17,14.0,228.11472065285625
replicate_4,pos17,15.0,212.45098039215685
replicate_4,pos17,16.0,204.5173237753883
replicate_4,pos17,17.0,205.74555903866246
replicate_4,pos17,18.0,205.475
replicate_4,pos17,19.0,200.6984126984127
replicate_4,pos17,20.0,203.9
replicate_4,pos17,21.0,198.81632653061223
replicate_4,pos17,22.0,196.575
replicate_4,pos17,23.0,200.52
replicate_4,pos17,24.0,202.2785087719298
replicate_4,pos17,25.0,201.1071428571429
replicate_4,pos17,26.0,209.7783816425121
replicate_4,pos17,27.0,218.84615384615384
replicate_4,pos17,28.0,219.93421052631575
replicate_4,pos17,29.0,225.45343137254903
replicate_4,pos18,0.0,316.2173913043478
replicate_4,pos18,1.0,351.481128478841
replicate_4,pos18,2.0,367.1126760563381
replicate_4,pos18,3.0,354.28203781512605
replicate_4,pos18,4.0,347.08290772897516
replicate_4,pos18,5.0,329.3972602739726
replicate_4,pos18,6.0,290.1636363636364
replicate_4,pos18,7.0,271.4516129032258
replicate_4,pos18,8.0,233.54603701945894
replicate_4,pos18,9.0,220.73584905660377
replicate_4,pos18,10.0,209.525
replicate_4,pos18,11.0,212.38028169014083
replicate_4,pos18,12.0,214.63131921039962
replicate_4,pos18,13.0,211.1875
replicate_4,pos18,14.0,210.43636363636364
replicate_4,pos18,15.0,207.03703703703704
replicate_4,pos18,16.0,196.51351351351352
replicate_4,pos18,17.0,195.50664176006643
replicate_4,pos18,18.0,189.7902097902098
replicate_4,pos18,19.0,193.24242424242425
replicate_4,pos18,20.0,190.42857142857144
replicate_4,pos18,21.0,193.7338416848221
replicate_4,pos18,22.0,192.207898957498
replicate_4,pos18,23.0,197.07792207792207
replicate_4,pos18,24.0,202.26415094339623
replicate_4,pos18,25.0,213.03643790849674
replicate_4,pos18,26.0,219.72039800995026
replicate_4,pos18,27.0,222.94545454545457
replicate_4,pos18,28.0,221.8186233108108
replicate_4,pos18,29.0,228.37662337662337
replicate_4,pos19,0.0,333.93617021276594
replicate_4,pos19,1.0,378.7931034482759
replicate_4,pos19,2.0,392.60408534998703
replicate_4,pos19,3.0,396.9111111111111
replicate_4,pos19,4.0,437.0625
replicate_4,pos19,5.0,420.7541070482247
replicate_4,pos19,6.0,395.3294117647059
replicate_4,pos19,7.0,331.42
replicate_4,pos19,8.0,383.1144781144781
replicate_4,pos19,9.0,403.40909090909093
replicate_4,pos19,10.0,354.9423076923077
replicate_4,pos19,11.0,304.02906976744185
replicate_4,pos19,12.0,287.33095238095234
replicate_4,pos19,13.0,264.3703703703704
replicate_4,pos19,14.0,255.40946904820163
replicate_4,pos19,15.0,253.8295652173913
replicate_4,pos19,16.0,248.80331820760068
replicate_4,pos19,17.0,260.78165213781654
replicate_4,pos19,18.0,250.07190760059612
replicate_4,pos19,19.0,231.86452353616534
replicate_4,pos19,20.0,224.67373737373737
replicate_4,pos19,21.0,228.584229390681
replicate_4,pos19,22.0,228.56410256410257
replicate_4,pos19,23.0,220.90297339593116
replicate_4,pos19,24.0,214.94358974358977
replicate_4,pos19,25.0,224.45965739821253
replicate_4,pos19,26.0,241.13888888888889
replicate_4,pos19,27.0,236.13698630136983
replicate_4,pos19,28.0,245.44
replicate_4,pos19,29.0,345.8
replicate_4,pos23,0.0,267.27777777777777
replicate_4,pos23,1.0,304.79051598837214
replicate_4,pos23,2.0,315.1948275862069
replicate_4,pos23,3.0,322.160606060606
replicate_4,pos23,4.0,315.5718181818182
replicate_4,pos23,5.0,287.09634551495014
replicate_4,pos23,6.0,266.55737704918033
replicate_4,pos23,7.0,237.59746376811592
replicate_4,pos23,8.0,245.22916666666663
replicate_4,pos23,9.0,247.71052631578948
replicate_4,pos23,10.0,225.99091880341882
replicate_4,pos23,11.0,219.9189189189189
replicate_4,pos23,12.0,212.044776119403
replicate_4,pos23,13.0,207.66666666666663
replicate_4,pos23,14.0,202.73076923076923
replicate_4,pos23,15.0,194.171875
replicate_4,pos23,16.0,188.03684448462928
replicate_4,pos23,17.0,184.94871794871796
replicate_4,pos23,18.0,181.1293103448276
replicate_4,pos23,19.0,179.83333333333334
replicate_4,pos23,20.0,175.0569679849341
replicate_4,pos23,21.0,176.07128412537918
replicate_4,pos23,22.0,176.02283653846155
replicate_4,pos23,23.0,172.85
replicate_4,pos23,24.0,173.86301369863014
replicate_4,pos23,25.0,176.3617780661908
replicate_4,pos23,26.0,179.25
replicate_4,pos23,27.0,182.8
replicate_4,pos23,28.0,189.8284244974287
replicate_4,pos23,29.0,191.8019801980198
replicate_4,pos34,0.0,307.2089552238806
replicate_4,pos34,1.0,355.0
replicate_4,pos34,2.0,383.7705570291777
replicate_4,pos34,3.0,413.7518518518518
replicate_4,pos34,4.0,399.68752313957793
replicate_4,pos34,5.0,395.26899624765474
replicate_4,pos34,6.0,411.40909090909093
replicate_4,pos34,7.0,348.7169811320755
replicate_4,pos34,8.0,367.3181818181818
replicate_4,pos34,9.0,349.6875
replicate_4,pos34,10.0,311.35033444816054
replicate_4,pos34,11.0,298.0240963855422
replicate_4,pos34,12.0,274.578125
replicate_4,pos34,13.0,259.4651162790698
replicate_4,pos34,14.0,241.57167832167832
replicate_4,pos34,15.0,221.50819672131144
replicate_4,pos34,16.0,217.05263157894737
replicate_4,pos34,17.0,206.6888888888889
replicate_4,pos34,18.0,211.66129032258064
replicate_4,pos34,19.0,200.74545454545455
replicate_4,pos34,20.0,201.75641025641022
replicate_4,pos34,21.0,195.89322916666669
replicate_4,pos34,22.0,193.36
replicate_4,pos34,23.0,192.3548387096774
replicate_4,pos34,24.0,194.01329787234044
replicate_4,pos34,25.0,194.43333333333334
replicate_4,pos34,26.0,203.1428571428571
replicate_4,pos34,27.0,203.88840579710143
replicate_4,pos34,28.0,209.94296218487398
replicate_4,pos34,29.0,220.13861111111112
replicate_4,pos36,0.0,362.5259131765156
replicate_4,pos36,1.0,429.0434782608696
replicate_4,pos36,2.0,490.73333333333335
replicate_4,pos36,3.0,549.9551282051282
replicate_4,pos36,4.0,607.2280858676208
replicate_4,pos36,5.0,537.7631578947369
replicate_4,pos36,6.0,514.4162194394753
replicate_4,pos36,7.0,496.3037037037037
replicate_4,pos36,8.0,471.03727114210983
replicate_4,pos36,9.0,396.2391304347826
replicate_4,pos36,10.0,409.66886645962734
replicate_4,pos36,11.0,358.36507936507934
replicate_4,pos36,12.0,334.7
replicate_4,pos36,13.0,333.17391304347825
replicate_4,pos36,14.0,294.723106060606
replicate_4,pos36,15.0,274.79080459770114
replicate_4,pos36,16.0,260.75
replicate_4,pos36,17.0,252.04851031321618
replicate_4,pos36,18.0,245.54237288135593
replicate_4,pos36,19.0,230.48387096774192
replicate_4,pos36,20.0,228.2786211258697
replicate_4,pos36,21.0,218.95643939393943
replicate_4,pos36,22.0,214.1459781529295
replicate_4,pos36,23.0,214.55555555555551
replicate_4,pos36,24.0,217.02822390174777
replicate_4,pos36,25.0,223.96296296296296
replicate_4,pos36,26.0,224.7058823529412
replicate_4,pos36,27.0,244.61111111111111
replicate_4,pos36,28.0,239.8571428571429
replicate_4,pos36,29.0,238.21818181818185
replicate_4,pos37,0.0,278.25531914893617
replicate_4,pos37,1.0,340.18966346153843
replicate_4,pos37,2.0,363.08560606060604
replicate_4,pos37,3.0,374.23247809762205
replicate_4,pos37,4.0,371.7954545454545
replicate_4,pos37,5.0,363.7861904761905
replicate_4,pos37,6.0,345.19557823129253
replicate_4,pos37,7.0,318.9056603773585
replicate_4,pos37,8.0,302.98275862068965
replicate_4,pos37,9.0,282.655737704918
replicate_4,pos37,10.0,271.43379675604103
replicate_4,pos37,11.0,277.54285714285714
replicate_4,pos37,12.0,260.97058823529414
replicate_4,pos37,13.0,240.98057184750732
replicate_4,pos37,14.0,226.10374149659862
replicate_4,pos37,15.0,226.26141686182672
replicate_4,pos37,16.0,225.44117647058823
replicate_4,pos37,17.0,213.92857142857144
replicate_4,pos37,18.0,208.09230769230768
replicate_4,pos37,19.0,208.3134328358209
replicate_4,pos37,20.0,202.83928571428572
replicate_4,pos37,21.0,205.22676767676768
replicate_4,pos37,22.0,214.83870967741936
replicate_4,pos37,23.0,212.91666666666663
replicate_4,pos37,24.0,222.3088061465721
replicate_4,pos37,25.0,216.6930894308943
replicate_4,pos37,26.0,217.05008210180623
replicate_4,pos37,27.0,214.5715713714514
replicate_4,pos37,28.0,220.10507482108005
replicate_4,pos37,29.0,227.08510638297872
replicate_4,pos38,0.0,329.2110354434298
replicate_4,pos38,1.0,366.54761904761904
replicate_4,pos38,2.0,415.2716049382716
replicate_4,pos38,3.0,422.97435897435895
replicate_4,pos38,4.0,440.6200510855683
replicate_4,pos38,5.0,433.1111111111111
replicate_4,pos38,6.0,399.96153846153845
replicate_4,pos38,7.0,403.7636363636363
replicate_4,pos38,8.0,383.9453125
replicate_4,pos38,9.0,354.40666666666664
replicate_4,pos38,10.0,317.06329923273654
replicate_4,pos38,11.0,298.8634930643127
replicate_4,pos38,12.0,294.55405405405406
replicate_4,pos38,13.0,277.5775862068965
replicate_4,pos38,14.0,254.70888888888888
replicate_4,pos38,15.0,229.91071428571428
replicate_4,pos38,16.0,228.64375788146282
replicate_4,pos38,17.0,233.59451219512195
replicate_4,pos38,18.0,241.57142857142856
replicate_4,pos38,19.0,228.33196918632643
replicate_4,pos38,20.0,231.69278996865205
replicate_4,pos38,21.0,231.609243697479
replicate_4,pos38,22.0,225.45537084398978
replicate_4,pos38,23.0,241.26705780095614
replicate_4,pos38,24.0,224.77462121212122
replicate_4,pos38,25.0,221.32488479262673
replicate_4,pos38,26.0,230.22806603773586
replicate_4,pos38,27.0,238.24565972222223
replicate_4,pos38,28.0,246.38548636129696
replicate_4,pos38,29.0,266.03389830508473
replicate_4,pos39,0.0,319.07214857774096
replicate_4,pos39,1.0,342.0862643465383
replicate_4,pos39,2.0,377.8167808219178
replicate_4,pos39,3.0,382.6666666666667
replicate_4,pos39,4.0,413.3815789473685
replicate_4,pos39,5.0,412.90425531914894
replicate_4,pos39,6.0,388.12
replicate_4,pos39,7.0,371.68263403263404
replicate_4,pos39,8.0,324.9310344827586
replicate_4,pos39,9.0,317.3718220338983
replicate_4,pos39,10.0,316.29385964912285
replicate_4,pos39,11.0,297.72640562249
replicate_4,pos39,12.0,268.125
replicate_4,pos39,13.0,247.93308423913044
replicate_4,pos39,14.0,238.8703703703704
replicate_4,pos39,15.0,228.4581818181818
replicate_4,pos39,16.0,232.51749999999998
replicate_4,pos39,17.0,218.70845070422536
replicate_4,pos39,18.0,216.5645833333333
replicate_4,pos39,19.0,210.87600644122384
replicate_4,pos39,20.0,211.4406779661017
replicate_4,pos39,21.0,213.481884057971
replicate_4,pos39,22.0,208.8801169590643
replicate_4,pos39,23.0,204.01854838709676
replicate_4,pos39,24.0,206.1034482758621
replicate_4,pos39,25.0,203.86363636363637
replicate_4,pos39,26.0,207.46499999999997
replicate_4,pos39,27.0,210.14067380633645
replicate_4,pos39,28.0,221.68522930315663
replicate_4,pos39,29.0,235.73214285714283
replicate_4,pos8,0.0,296.3317307692308
replicate_4,pos8,1.0,349.9367088607595
replicate_4,pos8,2.0,411.52923076923076
replicate_4,pos8,3.0,374.3863636363636
replicate_4,pos8,4.0,362.44776119402985
replicate_4,pos8,5.0,358.0
replicate_4,pos8,6.0,334.5
replicate_4,pos8,7.0,326.5217391304348
replicate_4,pos8,8.0,323.5
replicate_4,pos8,9.0,301.1666666666667
replicate_4,pos8,10.0,295.0769230769231
replicate_4,pos8,11.0,277.2340425531915
replicate_4,pos8,12.0,272.56349206349205
replicate_4,pos8,13.0,260.1928838951311
replicate_4,pos8,14.0,258.8936170212766
replicate_4,pos8,15.0,269.6521739130435
replicate_4,pos8,16.0,255.05868544600938
replicate_4,pos8,17.0,237.7962962962963
replicate_4,pos8,18.0,232.65215311004783
replicate_4,pos8,19.0,229.06666666666663
replicate_4,pos8,20.0,214.35555555555555
replicate_4,pos8,21.0,214.21818181818185
replicate_4,pos8,22.0,223.02941176470588
replicate_4,pos8,23.0,224.33236500341764
replicate_4,pos8,24.0,231.1071428571429
replicate_4,pos8,25.0,224.425
replicate_4,pos8,26.0,223.96428571428572
replicate_4,pos8,27.0,219.93161764705883
replicate_4,pos8,28.0,216.0353415559772
replicate_4,pos8,29.0,223.39036511156186
replicate_5,pos0,0.0,307.94
replicate_5,pos0,1.0,374.6412024269167
replicate_5,pos0,2.0,416.5970149253731
replicate_5,pos0,3.0,461.0511767925561
replicate_5,pos0,4.0,458.3589861751152
replicate_5,pos0,5.0,475.5738636363636
replicate_5,pos0,6.0,468.4927536231884
replicate_5,pos0,7.0,496.6904761904762
replicate_5,pos0,8.0,487.14413177762526
replicate_5,pos0,9.0,454.3921568627451
replicate_5,pos0,10.0,441.80272596843616
replicate_5,pos0,11.0,405.13526645768025
replicate_5,pos0,12.0,366.05
replicate_5,pos0,13.0,375.7313432835821
replicate_5,pos0,14.0,376.5263157894737
replicate_5,pos0,15.0,309.75434027777777
replicate_5,pos0,16.0,297.06014492753627
replicate_5,pos0,17.0,291.3432558139535
replicate_5,pos0,18.0,284.5657894736842
replicate_5,pos0,19.0,285.15357142857147
replicate_5,pos0,20.0,257.2165898617512
replicate_5,pos0,21.0,251.5535261288686
replicate_5,pos0,22.0,246.17241379310343
replicate_5,pos0,23.0,231.05319148936172
replicate_5,pos0,24.0,237.7775119617225
replicate_5,pos0,25.0,234.3
replicate_5,pos0,26.0,232.77777777777777
replicate_5,pos0,27.0,228.6071428571429
replicate_5,pos0,28.0,235.55969191270862
replicate_5,pos1,0.0,330.56849429912813
replicate_5,pos1,1.0,415.9724629577858
replicate_5,pos1,2.0,451.625
replicate_5,pos1,3.0,486.88976608187136
replicate_5,pos1,4.0,485.79354838709673
replicate_5,pos1,5.0,550.4153846153846
replicate_5,pos1,6.0,509.68333333333334
replicate_5,pos1,7.0,482.7894736842105
replicate_5,pos1,8.0,514.4880952380952
replicate_5,pos1,9.0,486.3125
replicate_5,pos1,10.0,492.2
replicate_5,pos1,11.0,469.3095238095238
replicate_5,pos1,12.0,460.23333333333335
replicate_5,pos1,13.0,402.9487179487179
replicate_5,pos1,14.0,397.12845849802375
replicate_5,pos1,15.0,371.62025316455697
replicate_5,pos1,16.0,360.35245620061835
replicate_5,pos1,17.0,366.38541666666663
replicate_5,pos1,18.0,408.9490284426922
replicate_5,pos1,19.0,346.05405405405406
replicate_5,pos1,20.0,314.5129735339907
replicate_5,pos1,21.0,286.5833333333333
replicate_5,pos1,22.0,288.094512195122
replicate_5,pos1,23.0,274.53125
replicate_5,pos1,24.0,264.4830220713073
replicate_5,pos1,25.0,259.1320754716981
replicate_5,pos1,26.0,277.94415471534114
replicate_5,pos1,27.0,285.1304347826087
replicate_5,pos1,28.0,268.22222222222223
replicate_5,pos2,0.0,323.6666666666667
replicate_5,pos2,1.0,387.5111111111111
replicate_5,pos2,2.0,429.38461538461536
replicate_5,pos2,3.0,463.55
replicate_5,pos2,4.0,513.276932084309
replicate_5,pos2,5.0,527.026388888889
replicate_5,pos2,6.0,532.4666666666667
replicate_5,pos2,7.0,520.5441558441557
replicate_5,pos2,8.0,515.6530555555555
replicate_5,pos2,9.0,521.9264705882352
replicate_5,pos2,10.0,508.46666666666664
replicate_5,pos2,11.0,490.61734928670046
replicate_5,pos2,12.0,494.22058823529414
replicate_5,pos2,13.0,442.74
replicate_5,pos2,14.0,413.07142857142856
replicate_5,pos2,15.0,393.23376623376623
replicate_5,pos2,16.0,334.07894736842104
replicate_5,pos2,17.0,360.2886904761905
replicate_5,pos2,18.0,369.35989010989016
replicate_5,pos2,19.0,314.06976744186045
replicate_5,pos2,20.0,311.05860805860806
replicate_5,pos2,21.0,286.23754494093475
replicate_5,pos2,22.0,288.741935483871
replicate_5,pos2,23.0,276.1212121212121
replicate_5,pos2,24.0,268.32926829268297
replicate_5,pos2,25.0,254.11818181818182
replicate_5,pos2,26.0,255.5823754789272
replicate_5,pos2,27.0,244.22559252011308
replicate_5,pos2,28.0,247.71666666666667
replicate_5,pos2,29.0,303.64150943396226
replicate_5,pos3,0.0,292.35555555555555
replicate_5,pos3,1.0,330.63791432448147
replicate_5,pos3,2.0,335.2734848484848
replicate_5,pos3,3.0,346.3703703703704
replicate_5,pos3,4.0,332.1875
replicate_5,pos3,5.0,367.60737812911725
replicate_5,pos3,6.0,351.6111111111111
replicate_5,pos3,7.0,355.6521739130435
replicate_5,pos3,8.0,345.5696227533083
replicate_5,pos3,9.0,353.60869565217394
replicate_5,pos3,10.0,367.33725029377206
replicate_5,pos3,11.0,362.0444055944056
replicate_5,pos3,12.0,328.37254901960785
replicate_5,pos3,13.0,326.40277777777777
replicate_5,pos3,14.0,282.97080653142007
replicate_5,pos3,15.0,281.47222222222223
replicate_5,pos3,16.0,260.2522321428571
replicate_5,pos3,17.0,265.85559216902504
replicate_5,pos3,18.0,258.9064393939394
replicate_5,pos3,19.0,235.63333333333333
replicate_5,pos3,20.0,222.6170634920635
replicate_5,pos3,21.0,225.96428571428572
replicate_5,pos3,22.0,216.84375
replicate_5,pos3,23.0,220.30506756756756
replicate_5,pos3,24.0,220.5540540540541
replicate_5,pos3,25.0,218.88913870633
replicate_5,pos3,26.0,222.77888343241148
replicate_5,pos3,27.0,238.71507870753933
replicate_5,pos3,28.0,252.025974025974
replicate_5,pos4,0.0,289.1564687975647
replicate_5,pos4,1.0,332.758064516129
replicate_5,pos4,2.0,373.3272727272727
replicate_5,pos4,3.0,364.3895491803279
replicate_5,pos4,4.0,375.95806451612907
replicate_5,pos4,5.0,350.1301247771836
replicate_5,pos4,6.0,350.26666666666665
replicate_5,pos4,7.0,381.3569565217391
replicate_5,pos4,8.0,341.04597701149424
